CLE;V_CAL;V_KAA;V_RHG;V_VAAM
555;0.04167;0.79167;8.12500;2.08333
556;0.00000;11.95238;1.33333;8.04762
557;0.00000;17.33333;2.91667;11.83333
558;0.00000;12.41667;25.50000;15.00000
559;2.59259;1.11111;6.70370;1.55556
560;0.00000;16.83333;5.83333;13.33333
561;3.50000;2.00000;29.33333;2.83333
562;0.00000;0.66667;8.50000;2.33333
563;0.00000;1.66667;20.25000;8.16667
564;1.38462;9.53846;26.38462;8.69231
565;3.68421;14.47368;33.31579;8.21053
566;10.66667;6.77778;57.00000;14.72222
567;13.78571;7.14286;59.64286;19.00000
568;14.41667;27.25000;68.33333;7.41667
569;0.00000;16.83333;46.83333;9.50000
570;2.17857;9.96429;64.07143;9.85714
571;4.00000;8.21053;53.36842;5.10526
572;2.05556;10.83333;37.58333;7.30556
573;3.41379;7.68966;37.34483;8.10345
574;2.83333;1.88889;34.55556;6.88889
575;0.16667;3.08333;20.66667;10.25000
576;1.12658;3.08861;33.45570;8.26582
577;0.25000;3.75000;68.58333;8.08333
578;4.04348;2.65217;53.65217;5.39130
579;2.75000;1.50000;31.83333;4.75000
580;1.05556;5.66667;19.50000;8.05556
581;5.25000;9.00000;39.58333;11.83333
582;6.27273;20.36364;26.72727;11.63636
583;20.00000;4.34286;46.45714;12.40000
584;13.83333;8.16667;57.33333;9.83333
585;6.20000;0.80000;48.20000;7.40000
586;11.16667;17.77778;48.72222;9.77778
587;16.89474;7.15789;57.31579;8.89474
588;7.61111;9.88889;41.72222;4.94444
589;3.00000;0.00000;33.50000;4.16667
590;10.55556;6.44444;53.44444;4.61111
591;4.18750;18.75000;21.56250;28.12500
592;6.53846;21.69231;50.84615;5.69231
593;2.66667;4.66667;54.33333;6.33333
594;1.22222;2.25926;34.37037;6.00000
595;0.00000;1.83333;34.50000;7.16667
596;0.25000;3.50000;29.08333;3.66667
597;0.00000;1.00000;9.33333;4.16667
598;0.00000;0.33333;2.16667;12.50000
599;0.00000;1.00000;12.83333;5.50000
600;0.15789;3.68421;20.78947;6.15789
601;0.00000;13.50000;13.83333;6.33333
602;0.00000;6.80000;10.60000;6.60000
603;0.00000;0.71429;7.00000;4.28571
604;0.00000;6.18182;7.54545;3.72727
605;0.00000;1.00000;15.00000;7.33333
606;0.00000;4.42857;2.71429;2.28571
607;0.00000;2.50000;33.00000;8.16667
608;0.00000;1.80000;30.20000;2.80000
609;0.00000;16.71429;10.71429;13.14286
610;0.50000;8.50000;25.00000;3.83333
611;0.00000;13.50000;38.50000;44.33333
612;0.38000;10.38000;26.02000;11.70000
613;0.00000;2.40000;7.20000;0.40000
614;0.00000;37.28571;16.71429;8.28571
615;0.42857;15.85714;51.14286;10.42857
616;0.50000;5.33333;7.66667;6.33333
617;0.50000;4.16667;28.00000;28.50000
618;5.50000;23.83333;4.33333;10.00000
619;3.30000;8.40000;23.30000;11.20000
620;0.00000;11.66667;19.16667;23.00000
621;0.00000;22.00000;0.20000;12.40000
622;0.00000;5.14286;7.28571;4.28571
623;1.63636;5.72727;13.54545;3.18182
624;0.46154;11.61538;19.76923;12.46154
625;2.69811;6.73585;26.07547;7.49057
626;0.00000;0.00000;3.00000;4.50000
627;0.50000;4.00000;27.66667;2.00000
628;14.00000;13.60000;42.60000;3.80000
629;0.00000;9.20000;54.60000;9.40000
