"","CLE","AB","BA","BP","BP_AB","BP_PM","H","PB","PM","PM_AB","PT","PT_AB","PT_PM","TO","BOG","ALTI","D_1A","D_1AR","D_R","D_2","D_4GA","D_7","D_8","D_8AR","D_WA","ELE","P_DEF","ARI","DWFC","EVA","GDD","MAT","PRECT","PRECU","VPD","AG","BR","FT","HF","HL","LOG","SBOM","SBOS","SBON","O1700","O1880","O1900","O1920","rf_index","Forest_Type","RainFall"
"48",48,0.31,0,4.5,0.1,7.79,0.05,17.98,23.63,1.46,1.05,0,0.84,0,27.08,327.66,0.37,17.6,3,9.36,3,29.59,0,0,5.99,18.23,1,5,10,7,10,10,5,5,10,0,0.26,4.75,21.984,1,14.79,11.5,2.09,10.25,4.18,3.83,3.13,25.08,"H_c","c","H"
"49",49,1.4,0.06,5.25,0.06,15.75,0.31,9.95,32.6,0.12,0.49,0,2.69,0,7.81,338.52,10.46,49.79,7.11,0.42,6.28,11.3,0,0,7.11,31.38,3,5,10,7,10,10,5,5,10,0,0,4.25,1.068,1,30.16,19.66,1.34,11.25,4.31,2.69,16.66,33.87,"H_c","c","H"
"50",50,1.05,0,5.72,0.05,12.54,0.25,0.9,32.85,0,0.65,0,2.24,0.05,6.07,332.29,18.47,21.95,2.09,0,29.27,15.33,0,0,11.5,23.31,0,5,10,7,10,10,5,5,10,0,9.56,4.75,23.052,1.25,22.15,16.03,2.49,11,4.53,4.02,9.04,41.71,"H_c","c","H"
"51",51,0.55,0.04,5.8,0.07,12.15,0.04,2.24,17.28,0.04,1.54,0,3.27,0,17.61,338.64,16.05,10.7,1.07,6.42,2.14,21.39,0,0,11.5,21.66,1,5,10,7,10,10,5,5,10,0,0.15,5.14,12.958,1.6,37.03,11.74,0.84,10.14,5.37,11.22,11.7,23.9,"H_c","c","H"
"52",52,0.42,0,0.34,0,1.93,0,1.34,27.79,0,1.01,0,2.43,0,45.59,335.28,16.18,4.62,0,0,23.12,53.76,0,0,1.73,6.18,0,5,10,7,10,10,5,5,10,0,1.6,5,2.161,1.33,16.71,4.45,0.67,10.67,5,35,25,12.5,"H_c","c","H"
"53",53,0,0,1.2,0,0.55,0.11,7.33,26.16,0,0.27,0,1.04,0,26.49,345.54,7.35,2.04,0,4.49,40,31.43,0,0,2.86,10.61,0,4,10,7,9,9,6,6,9,0,16.64,5.75,50.025,2,21.51,0.6,0.27,7.75,32.91,8.7,8.7,16.15,"H_c","c","H"
"54",54,0.12,0,3.09,0.04,0.96,0.12,31.37,19.13,0,1.2,0,3.49,0,23.1,351.71,21.1,1.1,0.27,7.94,5.21,22.19,0,0,2.74,14.49,0,4,10,7,9,9,6,6,9,0,2.33,6,14.015,1.5,15.92,0.8,0.12,5.5,9.49,4.74,10.51,37.63,"H_c","c","H"
"55",55,0.1,0,5.5,0.1,0.58,0.87,40.89,12.83,0.1,5.88,0,1.06,0,10.9,370.49,26.35,1.35,0,37.17,3.38,9.46,0,0,5.41,34.64,3,4,10,7,9,9,6,6,9,0,0.1,6.33,9.641,1,25.27,0.39,0,5.67,0,5.03,5.66,64.78,"H_c","c","H"
"56",56,0,0,1.31,0,0.87,0.87,16.42,23.14,0,0.09,0,3.76,0,19.56,345.6,13.58,0.62,0,0.62,35.8,23.46,0,0,0,19.93,0,4,10,7,9,9,6,6,10,0,20.52,6,32.058,2,11.09,0,0,5,6.66,2.22,2.22,30,"H_c","c","H"
"57",57,0,0,1.23,0,2.84,0.22,18.85,27.27,0,2.62,0,10.09,0,18.18,339.8,18.35,7.87,1.87,3,4.87,22.85,0,0,1.5,23.39,2,4,10,7,9,9,6,6,9,0,4.74,5.75,12.423,2,12.1,0.73,0.06,6.75,11.79,8.97,8.96,32.55,"H_c","c","H"
"58",58,0.35,0,16.78,0.47,6.22,3.4,0.59,20.19,0.23,3.99,0.23,4.11,0,5.28,333.1,9.38,23.44,13.28,0.78,28.91,4.69,0,0,17.19,26.04,0,4,10,7,10,10,5,5,10,0.7,7.51,6,21.355,1.5,7.51,19.25,3.64,8,9.84,11.48,12.3,31.14,"H_c","c","H"
"59",59,0.48,0,8.06,0,2.47,0.18,1.64,20.17,0.12,1.7,0,10.41,0,8.27,334.73,22.15,7.87,0.41,2.28,28.99,12.84,0,0,20.08,11.97,0,4,10,7,10,10,5,5,10,0,7.58,5.3,18.845,2,28.55,8.51,0.68,8.5,15.79,6.64,13.73,15.79,"H_c","c","H"
"60",60,0.14,0,6.47,0.05,2.36,0.52,13.56,24.14,0.05,2.31,0,4.91,0,20.12,339.78,9,11,0,8,9,33,0,0,2,11.08,0,5,10,7,10,10,5,5,10,0.05,9.16,5.4,46.471,1.8,15.45,3.64,0.52,9,11.01,22.03,21.19,9.32,"H_c","c","H"
"61",61,0.12,0,0.24,0,2.2,0,0.49,21.42,0,0.24,0,0.98,0,40.39,330.2,3.23,1.61,0.81,0,20.97,50,0,0,20.97,6.1,0,5,10,7,10,10,5,5,10,0,0,4,0.006,1.67,12.24,6.12,0.49,11,7.32,26.83,24.39,29.26,"H_c","c","H"
"62",62,0.07,0,0.29,0,0.65,0.73,16.18,20.46,0,2.98,0,11.9,0,20.25,326.2,0,7.43,7.43,1.98,18.32,47.03,0,0,0.5,15.9,2,5,10,7,10,10,5,5,10,0,5.15,5.75,56.03,1.75,19.16,0.22,1.09,9,4.05,9.46,9.46,8.11,"H_c","c","H"
